ncbiID	fullName	rank	parentID
92000435	Acinetobacter baumannii 45002_5	norank	470
92000436	Acinetobacter baumannii 45002_6	norank	470
92000437	Acinetobacter baumannii 45002_7	norank	470
92000438	Acinetobacter baumannii 45002_8	norank	470
92000439	Acinetobacter baumannii 45002_9	norank	470
92000440	Acinetobacter baumannii 45052_1	norank	470
92000441	Acinetobacter baumannii 45052_2	norank	470
92000442	Acinetobacter baumannii 45052_3	norank	470
92000443	Acinetobacter baumannii 45052_4	norank	470
92000444	Acinetobacter baumannii 45052_5	norank	470
92000445	Acinetobacter baumannii 45057_1	norank	470
92000446	Acinetobacter baumannii 45057_4	norank	470
92000447	Acinetobacter baumannii 45075_1	norank	470
92000448	Acinetobacter baumannii 45075_10	norank	470
92000449	Acinetobacter baumannii 45075_2	norank	470
92000450	Acinetobacter baumannii 45075_3	norank	470
92000451	Acinetobacter baumannii 45075_4	norank	470
92000452	Acinetobacter baumannii 45075_5	norank	470
92000453	Acinetobacter baumannii 45075_6	norank	470
92000454	Acinetobacter baumannii 45075_8	norank	470
92000455	Acinetobacter baumannii 45075_9	norank	470
92000456	Acinetobacter baumannii 457946	norank	470
92000457	Acinetobacter baumannii 458282	norank	470
92000458	Acinetobacter baumannii 460	norank	470
92000459	Acinetobacter baumannii 461	norank	470
92000460	Acinetobacter baumannii 466215	norank	470
92000461	Acinetobacter baumannii 466760	norank	470
92000462	Acinetobacter baumannii 470922	norank	470
92000463	Acinetobacter baumannii 472237-1196	norank	470
92000464	Acinetobacter baumannii 472237-120	norank	470
92000465	Acinetobacter baumannii 4749	norank	470
92000466	Acinetobacter baumannii 480175	norank	470
92000467	Acinetobacter baumannii 48055	norank	470
92000468	Acinetobacter baumannii 496487	norank	470
92000469	Acinetobacter baumannii 499	norank	470
92000470	Acinetobacter baumannii 502	norank	470
92000471	Acinetobacter baumannii 5021_13	norank	470
92000472	Acinetobacter baumannii 50595	norank	470
92000473	Acinetobacter baumannii 532279	norank	470
92000474	Acinetobacter baumannii 532413	norank	470
92000475	Acinetobacter baumannii 53264	norank	470
92000476	Acinetobacter baumannii 541915	norank	470
92000477	Acinetobacter baumannii 554515	norank	470
92000478	Acinetobacter baumannii 554L	norank	470
92000479	Acinetobacter baumannii 554S	norank	470
92000480	Acinetobacter baumannii 562700	norank	470
92000481	Acinetobacter baumannii 564012	norank	470
92000482	Acinetobacter baumannii 573719	norank	470
92000483	Acinetobacter baumannii 58452	norank	470
92000484	Acinetobacter baumannii 5MO	norank	470
92000485	Acinetobacter baumannii 6013113	norank	470
92000486	Acinetobacter baumannii 6013150	norank	470
92000487	Acinetobacter baumannii 6014059	norank	470
92000488	Acinetobacter baumannii 607805	norank	470
