ncbiID	fullName	rank	parentID
92000350	Acinetobacter baumannii 92000350	norank	470
92000351	Acinetobacter baumannii 92000351	norank	470
92000352	Acinetobacter baumannii 92000352	norank	470
92000353	Acinetobacter baumannii 92000353	norank	470
92000354	Acinetobacter baumannii 92000354	norank	470
92000355	Acinetobacter baumannii 92000355	norank	470
92000356	Acinetobacter sp. 92000356	norank	1217692
92000357	Acinetobacter baumannii 92000357	norank	470
92000358	Acinetobacter baumannii 92000358	norank	470
92000359	Acinetobacter baumannii 92000359	norank	470
92000360	Acinetobacter baumannii 92000360	norank	470
92000361	Acinetobacter baumannii 92000361	norank	470
92000362	Acinetobacter baumannii 92000362	norank	470
92000363	Acinetobacter baumannii 92000363	norank	470
92000364	Acinetobacter baumannii 92000364	norank	470
92000365	Acinetobacter baumannii 92000365	norank	470
92000366	Acinetobacter baumannii 92000366	norank	470
92000367	Acinetobacter baumannii 92000367	norank	470
92000368	Acinetobacter baumannii 92000368	norank	470
92000369	Acinetobacter baumannii 92000369	norank	470
92000370	Acinetobacter baumannii 92000370	norank	470
92000371	Acinetobacter baumannii 92000371	norank	470
92000372	Acinetobacter baumannii 92000372	norank	470
92000373	Acinetobacter baumannii 92000373	norank	470
92000374	Acinetobacter baumannii 92000374	norank	470
92000375	Acinetobacter baumannii 92000375	norank	470
92000376	Acinetobacter baumannii 92000376	norank	470
92000377	Acinetobacter baumannii 92000377	norank	470
92000378	Acinetobacter baumannii 92000378	norank	470
92000379	Acinetobacter baumannii 92000379	norank	470
92000380	Acinetobacter baumannii 92000380	norank	470
92000381	Acinetobacter baumannii 92000381	norank	470
92000382	Acinetobacter baumannii 92000382	norank	470
92000383	Acinetobacter baumannii 92000383	norank	470
92000384	Acinetobacter baumannii 92000384	norank	470
92000385	Acinetobacter baumannii 92000385	norank	470
92000386	Acinetobacter baumannii 92000386	norank	470
92000387	Acinetobacter baumannii 92000387	norank	470
92000388	Acinetobacter baumannii 92000388	norank	470
92000389	Acinetobacter baumannii 92000389	norank	470
92000390	Acinetobacter baumannii 92000390	norank	470
92000391	Acinetobacter baumannii 92000391	norank	470
92000392	Acinetobacter baumannii 92000392	norank	470
92000393	Acinetobacter baumannii 92000393	norank	470
92000394	Acinetobacter baumannii 92000394	norank	470
92000395	Acinetobacter baumannii 92000395	norank	470
92000396	Acinetobacter baumannii 92000396	norank	470
92000397	Acinetobacter baumannii 92000397	norank	470
92000398	Acinetobacter baumannii 92000398	norank	470
92000399	Acinetobacter baumannii 92000399	norank	470
92000400	Acinetobacter baumannii 92000400	norank	470
92000401	Acinetobacter baumannii 92000401	norank	470
92000402	Acinetobacter baumannii 92000402	norank	470
92000403	Acinetobacter baumannii 92000403	norank	470
92000404	Acinetobacter baumannii 92000404	norank	470
92000405	Acinetobacter baumannii 92000405	norank	470
92000406	Acinetobacter baumannii 92000406	norank	470
92000407	Acinetobacter baumannii 92000407	norank	470
92000408	Acinetobacter baumannii 92000408	norank	470
92000409	Acinetobacter baumannii 92000409	norank	470
92000410	Acinetobacter baumannii 92000410	norank	470
92000411	Acinetobacter baumannii 92000411	norank	470
92000412	Acinetobacter baumannii 92000412	norank	470
92000413	Acinetobacter baumannii 92000413	norank	470
92000414	Acinetobacter baumannii 92000414	norank	470
92000415	Acinetobacter baumannii 92000415	norank	470
92000416	Acinetobacter baumannii 92000416	norank	470
92000417	Acinetobacter baumannii 92000417	norank	470
92000418	Acinetobacter baumannii 92000418	norank	470
92000419	Acinetobacter baumannii 92000419	norank	470
92000420	Acinetobacter baumannii 92000420	norank	470
92000421	Acinetobacter baumannii 92000421	norank	470
92000422	Acinetobacter baumannii 92000422	norank	470
92000423	Acinetobacter baumannii 92000423	norank	470
92000424	Acinetobacter baumannii 92000424	norank	470
92000425	Acinetobacter baumannii 92000425	norank	470
